rown,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,rown2
1,8,100,,,,,,,600,,50,,,,,,,,,,,,,,,,100,1
2,,50,,,,,,,400,,20,,,,,,,,,,,,,,,,35,2
3,90,100,,,,,,,500,,60,,,,,,,,,,200,,,,,,100,3
4,26,100,,,,,,,500,,60,,,,,,,,,,,,,,,,35,4
5,20,100,,,,,,,400,200,50,,,,,,,,,,400,,,,,,49,5
6,4,100,,,,,,,500,260,25,,,,,,,,,,,,,,,,60,6
7,,75,,,20,15,,,300,,15,,,,,,,,,,,,,,,,77,7
8,,80,,,,,,,400,,16,,,,,,,,,,,,,,50,,28,8
9,,25,,,,20,,,300,,5,,,,,,,,,,,,,,,,,9
10,,75,,,,,,,900,,25,,,,,,,,,,,,,,,,83,10
11,,75,,,,30,,,500,,40,,,,,,,,,,,,,,,,139,11
12,,75,,,,,,,300,,50,,,,,,,,,,,,,,,,75,12
13,100,300,,,,,,,800,,100,,,,,,,,,,,,,,,,84,13
14,6,75,,,,,,,500,,6,,,,,,,,,,,,,,,,35,14
15,6,100,,,,,,,300,,20,,,,,,,,,,,,,,,,40,15
16,6,70,,,,,,,250,,8,,,,,,,,,,,,,,,,108,16
17,,100,,,,,,,600,,20,,,,,,,,,,,,,,,,35,17
18,10,150,,,,,,,600,400,25,,,,,,,,,,,,,,,,60,18
19,,30,,,,,,,300,,10,,,,,,,,,,,,,,,,25,19
20,,100,,,,,,,800,500,40,,,,,,,,,,,,,,,,100,20
21,,50,,,,20,,,200,,20,,,,,,,,,,,,,,,,20,21
22,,50,,,,,,,300,,10,,,,,,,,,,,,,,,,25,22
23,26,100,,,,50,,,400,,18,,,,,,,,,,140,,,,100,,75,23
24,,25,,,,20,,,600,,70,,,,,,,,,,200,,,,,,130,24
25,,900,,,,40,20,,50,,30,,,,,,,,,,,,,,,,42,25
26,,50,,,,,,,200,,60,,,,,,,,,,,,,,,,60,26
27,,150,,,,10,2,,500,200,50,,,,,,,,,,,,,,,,80,27
28,,100,,,,,,,1000,800,90,,,,,,,,,,,,,,,,40,28
29,40,200,,,,25,,,400,,40,,,,,,,,,,,,,,,,56,29
30,,150,,8,,30,,,400,,30,,,,,,,,,,345,,,,,,50,30
31,,900,,,,10,,,380,,30,,,,,,,,,,100,,,,,,90,31
32,,150,,,,20,,,400,100,30,,,,,,,,,,,,,,,,100,32
33,,50,,,,,,,400,,20,,,,,,,,,,,,,,,,30,33
34,,100,,,,,,,900,,90,,,,,,,,,,,,,,,,50,34
35,,300,,6,,25,,,600,,75,,,6,,,,,,,,,,,,,150,35
36,,300,,,,,,,400,,40,,,3,,,,,,,,,,,,,80,36
37,,125,,,20,20,,,600,,40,,,,,,,,,,,,,,,,75,37
38,,30,,,,,,,300,,10,,,,,,,,,,,,,,,,35,38
39,25,50,,,,,,,400,600,60,,,,,,,,,,,,,,,,61,39
40,,30,,,,,,,200,,10,,,,,,,,,,,,,,,,25,40
